freq,Hx squint,Hy squint,Vx squint,Vy squint,Hx fwhm,Hy fwhm,Vx fwhm,Vy fwhm
MHz,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin
856,-0.04,1.34,0.04,0.30,90.98,90.57,89.10,92.01
900,0.10,0.81,0.03,0.90,86.62,85.45,84.47,88.21
950,0.12,0.73,0.06,0.18,82.05,81.03,79.93,83.17
1000,0.08,0.35,0.06,0.23,77.95,76.73,75.74,78.99
1050,0.07,0.21,0.05,0.09,74.23,72.66,71.83,75.39
1100,0.03,0.16,0.03,-0.12,70.77,69.29,68.37,71.49
1150,0.05,-0.18,0.02,-0.19,67.49,65.73,64.98,68.49
1200,0.08,-0.11,0.07,-0.25,64.47,62.69,62.05,65.29
1250,0.04,-0.23,0.06,-0.39,61.37,60.11,59.46,62.03
1300,0.04,-0.34,0.07,-0.33,58.64,57.68,57.24,59.33
1350,0.01,-0.35,0.07,-0.34,55.70,55.80,55.24,56.38
1400,-0.05,-0.46,0.07,-0.27,53.17,53.97,53.56,53.72
1450,0.24,-0.53,0.07,-0.48,51.13,52.29,51.87,51.75
1500,1.55,-0.55,0.09,-1.56,49.71,50.69,50.36,50.31
1550,1.54,-0.62,0.12,-1.97,48.72,49.04,48.70,49.13
1575,1.42,-0.67,0.13,-2.15,48.34,48.33,47.92,48.77
1600,0.98,-0.65,0.16,-2.12,48.07,47.43,47.12,48.33
1625,0.50,-0.68,0.18,-1.87,47.74,46.55,46.31,47.92
1650,0.36,-0.70,0.18,-1.58,47.35,45.88,45.53,47.62
1670,0.39,-0.67,0.17,-1.58,47.12,45.26,44.95,47.33
1712,0.40,-0.59,0.09,-1.69,46.44,44.16,43.88,46.73
