freq,Hx squint,Hy squint,Vx squint,Vy squint,Hx fwhm,Hy fwhm,Vx fwhm,Vy fwhm
MHz,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin
2407,0.02,-0.03,0.04,0.06,35.38,35.58,35.52,35.56
2450,0.00,-0.03,-0.01,0.13,34.85,34.99,34.93,34.92
2500,-0.40,-0.04,-0.00,-0.33,34.17,34.28,34.23,34.29
2550,-0.48,-0.05,-0.01,-0.44,33.48,33.63,33.57,33.60
2600,-0.42,-0.06,-0.01,-0.52,32.78,32.90,32.92,32.92
2650,-0.29,-0.06,-0.02,-0.44,32.06,32.27,32.21,32.25
2700,-0.29,-0.08,-0.02,-0.48,31.39,31.61,31.57,31.54
2750,-0.14,-0.08,-0.02,-0.37,30.73,30.99,30.94,30.93
2800,-0.09,-0.08,-0.02,-0.30,30.16,30.41,30.36,30.31
2850,-0.05,-0.10,-0.02,-0.26,29.63,29.83,29.78,29.79
2900,0.01,-0.10,-0.02,-0.20,29.11,29.31,29.28,29.25
2950,0.04,-0.12,-0.03,-0.15,28.54,28.82,28.79,28.67
3000,0.08,-0.11,-0.03,-0.08,27.84,28.33,28.27,27.98
3050,0.13,-0.13,-0.04,-0.07,29.06,27.83,27.82,29.14
3100,0.09,-0.15,-0.01,-0.10,27.02,27.47,27.42,27.25
3150,0.09,-0.11,-0.03,0.00,25.61,26.99,26.95,25.73
3200,0.15,-0.13,-0.05,0.08,26.58,26.50,26.48,26.59
3250,0.15,-0.18,-0.04,0.00,27.91,26.07,26.06,28.18
3280,0.08,-0.16,0.00,-0.01,25.17,25.82,25.82,25.40
