freq,Hx squint,Hy squint,Vx squint,Vy squint,Hx fwhm,Hy fwhm,Vx fwhm,Vy fwhm
MHz,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin
900,0.00,0.88,-0.00,0.72,97.98,100.37,96.41,101.89
950,-0.01,0.50,-0.03,0.41,92.58,94.70,90.72,96.26
1000,0.05,0.20,0.02,0.38,87.89,89.30,85.59,91.74
1050,-0.02,0.31,0.02,-0.12,83.39,84.55,80.96,86.98
1100,-0.03,-0.03,0.01,-0.23,79.08,80.06,76.76,82.25
1150,-0.03,0.09,-0.02,-0.29,74.79,76.14,72.92,78.09
1200,-0.05,0.00,-0.00,-0.36,70.81,72.78,69.70,73.86
1250,-0.05,-0.03,0.02,-0.35,67.30,69.69,66.79,70.31
1300,0.06,0.02,0.01,-0.58,64.20,67.18,64.30,67.11
1350,0.18,-0.07,0.03,-0.42,61.67,64.80,62.15,64.32
1400,-0.43,-0.07,0.03,-0.07,59.58,62.70,60.11,62.26
1450,-1.27,-0.12,-0.00,1.07,57.92,60.78,58.31,60.45
1500,-0.97,-0.23,-0.02,1.14,56.91,58.82,56.61,59.31
1550,-0.40,-0.21,-0.02,0.74,56.08,57.00,54.83,58.31
1600,-0.04,-0.29,-0.04,0.49,55.35,55.24,53.18,57.44
1650,0.22,-0.18,-0.04,1.07,55.22,53.52,51.58,56.90
