freq,Hx squint,Hy squint,Vx squint,Vy squint,Hx fwhm,Hy fwhm,Vx fwhm,Vy fwhm
MHz,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin
856,0.02,0.63,-0.04,0.39,102.51,106.47,101.63,106.38
900,-0.02,0.57,-0.02,0.30,97.81,100.27,96.26,101.83
950,-0.05,0.13,-0.07,-0.16,92.57,94.76,90.70,96.26
1000,0.03,-0.10,-0.01,0.03,87.84,89.22,85.57,91.68
1050,-0.02,0.02,0.00,-0.56,83.31,84.50,80.94,86.89
1100,-0.04,-0.36,-0.00,-0.65,79.03,80.02,76.70,82.15
1150,-0.03,-0.19,-0.02,-0.69,74.79,76.09,72.91,78.11
1200,-0.12,-0.21,-0.08,-0.75,70.81,72.80,69.69,73.87
1250,-0.16,-0.28,-0.10,-0.74,67.27,69.72,66.81,70.35
1300,0.06,-0.17,0.00,-0.94,64.26,67.17,64.34,67.10
1350,0.20,-0.22,0.01,-0.67,61.69,64.74,62.15,64.28
1400,-0.42,-0.18,0.02,-0.27,59.57,62.66,60.09,62.22
1450,-1.25,-0.21,-0.01,0.93,57.92,60.76,58.27,60.38
1500,-1.03,-0.31,-0.03,0.98,56.92,58.80,56.59,59.23
1550,-0.49,-0.30,-0.08,0.62,56.14,57.05,54.91,58.33
1600,-0.18,-0.33,-0.10,0.43,55.34,55.30,53.22,57.42
1650,0.13,-0.22,-0.08,1.07,55.14,53.54,51.59,56.80
1670,1.08,-0.34,-0.09,1.78,54.55,53.27,50.98,57.06
1712,3.05,-0.51,-0.06,-0.24,50.58,52.61,50.82,54.59
