freq,Hx squint,Hy squint,Vx squint,Vy squint,Hx fwhm,Hy fwhm,Vx fwhm,Vy fwhm
MHz,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin,arcmin
1750,0.03,0.44,0.02,0.65,54.29,55.15,53.37,56.24
1800,0.03,0.42,0.01,0.53,53.13,54.20,52.44,54.93
1850,0.02,0.33,-0.01,0.44,51.71,52.79,51.11,53.49
1900,0.03,0.31,-0.02,0.35,50.38,51.54,49.90,52.14
1950,0.05,0.24,-0.00,0.24,49.15,50.38,48.75,50.81
2000,0.02,0.21,-0.01,0.19,47.95,49.27,47.65,49.64
2050,0.02,0.16,-0.01,0.08,46.78,48.23,46.63,48.42
2100,0.01,0.08,-0.02,0.05,45.72,47.18,45.68,47.29
2150,0.03,0.04,-0.01,0.01,44.68,46.22,44.77,46.19
2200,0.03,0.19,-0.00,0.17,43.38,44.91,43.53,44.79
2250,0.00,0.16,-0.02,0.14,42.75,44.22,42.91,44.10
2300,0.01,0.12,-0.01,0.15,41.88,43.41,42.10,43.24
2350,0.27,0.09,-0.01,0.41,41.13,42.55,41.28,42.38
2400,0.11,0.07,-0.01,0.20,40.39,41.72,40.46,41.62
2450,0.17,0.06,-0.00,0.19,39.66,40.90,39.69,40.83
2500,-0.38,-0.01,0.01,-0.34,38.90,40.07,38.89,40.06
2550,-0.52,-0.03,0.02,-0.47,38.15,39.28,38.14,39.26
2600,-0.60,-0.05,0.02,-0.53,37.38,38.46,37.35,38.45
2650,-0.45,-0.01,0.02,-0.33,36.43,37.64,36.43,37.63
2700,-0.51,-0.03,0.02,-0.39,35.64,36.85,35.69,36.78
2750,-0.36,-0.03,0.01,-0.20,34.90,36.07,34.95,36.01
2800,-0.24,-0.02,-0.00,-0.09,34.23,35.36,34.24,35.30
2850,-0.17,-0.02,0.00,-0.04,33.66,34.68,33.59,34.65
2900,-0.07,-0.01,-0.00,0.02,33.09,34.06,32.98,34.04
2950,-0.01,-0.00,-0.00,0.06,32.42,33.45,32.40,33.38
3000,0.07,0.02,-0.00,0.15,31.58,32.88,31.84,32.54
3050,0.17,0.05,-0.01,0.20,33.10,32.25,31.27,33.92
3100,0.18,-0.00,-0.01,0.06,30.86,31.80,30.86,31.63
3150,0.19,0.02,-0.01,0.18,28.94,31.25,30.32,29.88
3200,0.31,0.02,-0.01,0.33,30.16,30.67,29.77,31.04
3250,0.43,-0.07,0.00,0.18,31.88,30.11,29.31,32.42
3300,0.30,-0.00,0.01,0.21,26.61,29.93,29.09,27.46
3350,0.45,0.04,0.00,0.40,27.42,29.49,28.69,28.31
3400,0.69,0.05,0.01,0.47,30.78,28.81,28.07,31.33
3450,0.42,-0.03,-0.02,0.29,25.26,29.09,28.37,25.94
